 Time,Acc_x,Acc_y,Acc_z,HRM_b,HRM_c,HRM_r,HRM_f,PPG_r,PPG_o,BTHRM
 1655063131272.4169921875,0.53332519531,0.38732910156,-0.833984375,,,,,,,,
 1655063131300.126953125,,,,,,6366,21309,3183,0,
 1655063131305.498046875,,,,44,66,,,,
 1655063131340.56274414062,,,,,,6302,19673,3151,0,
 1655063131352.67822265625,0.005859375,0.32543945312,-0.57751464843,,,,,,,,
 1655063131381.63940429687,,,,,,6222,17028,3111,0,
 1655063131432.84790039062,-0.66015625,0.23303222656,-0.45788574218,,,,,,,,
 1655063131463.88427734375,,,,,,6302,13470,3151,0,
 1655063131529.52758789062,,,,,,6654,9203,3327,0,
 1655063131546.77001953125,,,,,,7158,4429,3579,0,
 1655063131587.75512695312,,,,,,7262,-700,3631,0,
 1655063131596.66625976562,-1.77429199218,0.15539550781,0.01403808593,,,,,,,,
 1655063131630.02197265625,,,,,,8190,-5534,4095,0,
 1655063131672.53295898437,,,,,,8126,-10385,3055,1008,
 1655063131711.015625,,,,,,8062,-14924,2591,1440,
 1655063131755.60180664062,-1.873046875,1.16271972656,-0.46643066406,,,,,,,,
 1655063131759.66064453125,,,,,,7150,-19293,2167,1408,
 1655063131793.59619140625,,,,,,6206,-23291,1727,1376,
 1655063131837.44995117187,-1.40502929687,0.84033203125,-0.35302734375,,,,,,,,
 1655063131841.47827148437,,,,,,5238,-26792,1275,1344,
 1655063131875.810546875,,,,,,4494,-29769,935,1312,
 1655063131912.52319335937,-1.24096679687,0.47106933593,-0.27404785156,,,,,,,,
 1655063131942.49145507812,,,,,,,,,,103
 1655063131958.48266601562,,,,,,3798,-32242,619,1280,
 1655063131992.32666015625,-1.05297851562,0.26550292968,-0.193359375,,,,,,,,
 1655063132040.30029296875,,,,,,3666,-32768,585,1248,
 1655063132072.37426757812,-1.01940917968,0.25830078125,-0.38720703125,,,,,,,,
 1655063132084.306640625,,,,,,3436,-32768,502,1216,
 1655063132152.45239257812,-1.02673339843,0.32055664062,-0.59228515625,,,,,,,,
 1655063132164.17114257812,,,,,,3188,-32768,410,1184,
 1655063132205.36987304687,,,,,,3446,-32768,571,1152,
 1655063132233.26293945312,-1.0927734375,0.31311035156,-0.64624023437,,,,,,,,
 1655063132246.47705078125,,,,,,3070,-32768,415,1120,
 1655063132289.0185546875,,,,,,2334,-32768,79,1088,
 1655063132312.63916015625,-1.15270996093,0.43371582031,-0.74438476562,,,,,,,,
 1655063132328.8134765625,,,,,,2270,-30556,645,490,
 1655063132370.25634765625,,,,,,2206,-27283,635,468,
 1655063132392.59521484375,-1.09826660156,0.32739257812,-0.72338867187,,,,,,,,
 1655063132411.05834960937,,,,,,2430,-23303,779,436,
 1655063132531.99951171875,-0.91442871093,-0.12036132812,-0.34460449218,,,,,,,,
 1655063132536.24145507812,,,,,,2982,-18620,1087,404,
 1655063132552.72094726562,-0.75476074218,-0.07080078125,0.07592773437,,,,,,,,
 1655063132576.34155273437,,,,,,3174,-8532,1247,340,
 1655063132617.35717773437,,,,,,3318,-3565,1351,308,
 1655063132632.40234375,-0.67822265625,0.244140625,0.05529785156,,,,,,,,
 1655063132658.12866210937,,,,,,3670,1110,1559,276,
 1655063132699.44946289062,,,,,,3558,5151,1535,244,
 1655063132712.14477539062,-0.78637695312,0.3994140625,-0.31188964843,,,,,,,,
